kingdom,phylum,class,subclass,infraclass,subterclass,order,superfamily,family,genus,species,temporary ID
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Hadzioidea,Melitidae,Megamoera,Megamoera subtener,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Hadzioidea,Melitidae,Melita,Melita nitida,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Haustorioidea,Phoxocephalidae,Metaphoxus,Metaphoxus frequens,NA
Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,Neogastropoda,Buccinoidea,Columbellidae,Mitrella,Mitrella aurantiaca,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Corophiidae,Monocorophium,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Corophiidae,Monocorophium,Monocorophium acherusicum,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Corophiidae,Monocorophium,Monocorophium insidiosum,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Mysida,NA,Mysidae,NA,NA,NA
Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,Mytilida,Mytiloidea,Mytilidae,Mytilus,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Calliopioidea,Pontogeneiidae,Nasageneia,Nasageneia quinsana,NA
Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,Littorinimorpha,Naticoidea,Naticidae,NA,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Nereididae,Neanthes,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Nereididae,Neanthes,Neanthes biseriata,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Nephtyidae,Nephtys,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Phyllodocidae,Nereiphylla,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Nereididae,Nereis,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Nereididae,Nereis,Nereis procera,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Cumacea,NA,Leuconidae,Nippoleucon,Nippoleucon hinumensis,NA
Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudibranchia,NA,NA,NA,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Oedicerotoidea,Oedicerotidae,NA,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Calliopioidea,Calliopiidae,Oligochinus,Oligochinus lighti,NA
Animalia,Mollusca,Gastropoda,Heterobranchia,"""Lower Heterobranchia""",NA,NA,Omalogyroidea,NA,NA,NA,NA
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,NA,NA,NA,Opheliidae,NA,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Hesionidae,Oxydromus,Oxydromus pugettensis,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Pandaloidea,Pandalidae,Pandalus,Pandalus danae,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Decapoda,Pandaloidea,Pandalidae,Pandalus,Pandalus stenolepis,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Isopoda,Sphaeromatoidea,Sphaeromatidae,Paracerceis,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Isopoda,Sphaeromatoidea,Sphaeromatidae,Paracerceis,Paracerceis cordata,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Isopoda,Sphaeromatoidea,Sphaeromatidae,Paracerceis,Paracerceis sculpta,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Corophioidea,Corophiidae,Paracorophium,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Dexaminoidea,Dexaminidae,Paradexamine,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Aoroidea,Aoridae,Paramicrodeutopus,Paramicrodeutopus schmitti,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Phyllodocidae,Paranaitis,Paranaitis polynoides,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Isopoda,Anthuroidea,Paranthuridae,Paranthura,Paranthura elegans,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Isopoda,Anthuroidea,Paranthuridae,Paranthura,Paranthura japonica,NA
Animalia,Annelida,Polychaeta,Sedentaria,Scolecida,NA,NA,NA,Paraonidae,NA,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Isopoda,NA,Idoteidae,Pentidotea,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Isopoda,NA,Idoteidae,Pentidotea,Pentidotea resecata,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Isopoda,NA,Idoteidae,Pentidotea,Pentidotea schmitti,NA
